sl_no,text
0,"Who wants to win the nose from @AJDinger's @Action_Ind car that just finished second at Watkins Glen?! 😄

I'll cut it in half and pick two winners! To have a chance:

- like and retweet this tweet
- follow ME and @KauligRacing

I'll pick some winners next week! https://t.co/EbArBRJjIG"
1,Arctic Monkeys SEVENTH album will be named ‘The Car’ and it will have 10 new songs! https://t.co/2RM23KKI7m
2,"Chinese Police approved Nearl side booba 
(Large custom paint on CN cars needs license from traffic police. This car paint is approved by China Sichuan PD. )
Video link by owner https://t.co/nyolRImqq4 https://t.co/7sCsL4TLJn"
3,He should just be shoved into a Black Maria…one patrol car in front n 1 at the back.. https://t.co/2aQmQ3453B
4,"EXCLUSIVE: Alex Turner lifts the lid on new @arcticmonkeys album The Car in a global exclusive interview with The Big Issue 

“Sci-fi is off the table. We are back to earth” 👀👀

https://t.co/cnUMoati4v"
5,"nails, lashes, waxes, clothing, go to school, study, get good grades, find jobs, drive, get gas, car insurances, car maintenance, be a mom, sometimes a single mom with no help, so then you gotta do all that x2, &amp; be mentally stable, be organized, &amp; im just fucking exhausted😩😩"
6,"bojiang 2Pcs Seat Belt Covers Shoulder Pads for Black Widow, Embroidered Logo Black Leather Car Seat Belt Pads Safety Belt Co [K9U6YS1]

https://t.co/qvBU9ovVGY"
7,"Slight change: 5 x £500 will allegedly be going to “names out of a hat” - but £500 has already been earmarked for a man who’s been living in his car for 12 months - in his mothers garden. 
 
You couldn’t write it. https://t.co/QSATE42XJP"
8,A former Idaho sheriff will spend some time behind bars after pleading guilty to aggravated assault after he reportedly pointed his gun at a car with seven girls and their Sunday school teacher over a “thankful turkey.” https://t.co/K04847onO4
9,"nails, lashes, waxes, clothing, go to school, study, get good grades, find jobs, drive, get gas, car insurances, car maintenance, be a mom, sometimes a single mom with no help, so then you gotta do all that x2, &amp; be mentally stable, be organized, &amp; im just fucking exhausted😩😩"
10,"@FelloTong_ Give him money for a haircut, car wash and a bottle of cognac!!! Do it now!"
11,feed your car bees
12,"Please retweet to help Suede find a home #WestMidlands #England 

Aged 5-7, looking for an experienced adult home as the only pet, someone that can train a dog with behavioural issues. He's active, good in the car, please contact the shelter for details👇
https://t.co/sBOmzWKgHt https://t.co/PMPGCqVMwB"
13,"@AntheaJayne4 @MickGreenhough They erected a 12ft high blackout fence around most of the Cruise terminal to try to hide the shear scale of this immigrant importing business. I photographed it when trying to find a parking spot there, now most of the car park has gone to Gimmedat processing."
14,"If you Google the word “Jaguar,” the car appears before the animal.

This is because the animal did not hire a good SEO consultant."
15,"Just bought my First car. All hard work. Thank you God 🙏. Would you take the car or me ? Like ❤️ Retweet 🔄 for the Car 
MPESA Juliana Cherera #rigathigachagua Malema Diana Form 34C Ole Sapit Aoko Igathe Msando https://t.co/ypo1feu90v"
16,"#BamBam said he recently went to Thailand for an event launch of a car brand and #Youngjae was like “Yota?” 😹

(They can't say brand names on radio.)

#BamJae_BestFriend
DJ YOUNGJAE WITH BAMBAM"
17,"#BamBam said he recently went to Thailand for an event launch of a car brand and #Youngjae was like “Yota?” 😹

(They can't say brand names on radio.)

#BamJae_BestFriend
DJ YOUNGJAE WITH BAMBAM"
18,@boy_director Used to think the camera man hangs on the car bonnet like this https://t.co/Ksd6FFLtXX
19,@schmanderz @SacKingBrian @POTUS Why is it the responsibility of your car mechanic or the guy that picks up your garbage to pay your loan?
